,Date,HighTemp.,LowTemp.,AvgTemp.,TempDeparture,HDD,CDD,GDD,AvgDewpoint,AvgRH,AvgWind Speed,AvgWind Dir,AvgPress,TotalPrecip,# obs
0,2021-12-26,56,42,50,14,15,0,0,35,58,10,315,1013.1,,24
1,2021-12-25,58,42,50,13,15,0,0,44,82,6,164,1002.8,0.65,24
2,2021-12-24,51,36,43,6,22,0,0,29,58,4,99,1016.8,Trace,24
3,2021-12-23,40,29,34,-3,31,0,0,16,46,9,249,1021.9,,24
4,2021-12-22,49,34,41,4,24,0,0,26,59,12,309,1007.7,0.16,24
5,2021-12-21,44,31,37,-1,28,0,0,27,66,4,156,1017.8,0.02,24
6,2021-12-20,40,26,32,-6,33,0,0,18,55,6,228,1026.8,,24
7,2021-12-19,50,30,40,2,25,0,0,28,62,14,339,1019.1,Trace,24
8,2021-12-18,49,47,48,10,17,0,0,45,91,2,83,1010.8,Trace,7
9,2021-12-15,44,36,39,0,26,0,0,27,63,3,40,1037.0,,9
10,2021-12-14,57,36,45,6,20,0,0,28,54,6,155,1032.4,,24
11,2021-12-13,55,35,44,4,21,0,0,25,49,9,231,1026.3,,24
12,2021-12-12,51,39,46,6,19,0,0,22,41,13,276,1021.5,,24
13,2021-12-11,68,46,58,18,7,0,3,52,82,14,171,1008.8,0.19,24
14,2021-12-10,50,33,44,4,21,0,0,33,65,3,99,1020.8,Trace,24
15,2021-12-09,42,31,38,-3,27,0,0,21,50,7,238,1023.0,,24
16,2021-12-08,43,37,40,-1,25,0,0,22,50,5,126,1016.6,,24
17,2021-12-07,44,36,40,-1,25,0,0,19,43,9,285,1021.9,,23
18,2021-12-06,67,43,55,14,10,0,0,44,69,14,217,1011.4,0.07,24
19,2021-12-05,54,35,45,3,20,0,0,28,54,5,133,1026.4,,23
20,2021-12-04,48,38,44,2,21,0,0,30,54,5,137,1020.4,Trace,24
21,2021-12-03,53,43,49,7,16,0,0,28,45,11,266,1015.3,,24
22,2021-12-02,60,46,54,11,11,0,0,42,64,10,186,1008.4,Trace,24
23,2021-12-01,52,36,46,3,19,0,0,30,56,6,194,1020.5,Trace,24
24,2021-11-30,45,31,40,-3,25,0,0,27,58,6,196,1016.2,Trace,24
25,2021-11-29,45,34,40,-3,25,0,0,24,51,11,299,1014.3,Trace,24
26,2021-11-28,53,37,43,-1,22,0,0,29,57,4,133,1011.4,Trace,24
27,2021-11-27,42,38,39,-5,26,0,0,19,44,14,282,1013.8,,24
28,2021-11-26,50,40,45,1,20,0,0,32,63,16,249,1007.2,0.16,19
29,2021-11-25,56,35,46,1,19,0,0,30,56,6,225,1017.3,Trace,24
30,2021-11-24,48,30,39,-6,26,0,0,22,50,6,263,1027.2,,24
31,2021-11-23,45,34,39,-6,26,0,0,18,43,12,313,1019.0,,24
32,2021-11-22,54,38,48,2,17,0,0,35,63,10,291,1013.0,0.05,24
33,2021-11-21,54,39,48,2,17,0,0,40,75,3,135,1023.5,Trace,24
34,2021-11-20,49,33,42,-4,23,0,0,29,61,4,135,1033.3,,24
35,2021-11-19,49,37,45,-2,20,0,0,24,45,13,295,1027.0,Trace,24
36,2021-11-18,72,48,60,13,5,0,5,47,65,11,232,1016.8,0.07,24
37,2021-11-17,66,30,49,2,16,0,0,40,72,5,102,1023.6,,24
38,2021-11-16,50,34,42,-5,23,0,0,27,57,8,209,1022.3,,24
