,No.,Name,Net,Age,Nat,Biz
0,1,Jeff Bezos,$177 billion,57,United States,Amazon
1,2,Elon Musk,$151 billion,49,United States,"Tesla, SpaceX"
2,3,Bernard Arnault & family,$150 billion,72,France,LVMH
3,4,Bill Gates,$124 billion,65,United States,Microsoft
4,5,Mark Zuckerberg,$97 billion,36,United States,Meta Platforms
5,6,Warren Buffett,$96 billion,90,United States,Berkshire Hathaway
6,7,Larry Ellison,$93 billion,76,United States,Oracle Corporation
7,8,Larry Page,$91.5 billion,48,United States,Alphabet Inc.
8,9,Sergey Brin,$89 billion,47,United States,Alphabet Inc.
9,10,Mukesh Ambani,$84.5 billion,63,India,Reliance Industries
0,1,Jeff Bezos,$113 billion,56,United States,Amazon
1,2,Bill Gates,$98 billion,64,United States,Microsoft
2,3,Bernard Arnault & family,$76 billion,71,France,LVMH
3,4,Warren Buffett,$67.5 billion,89,United States,Berkshire Hathaway
4,5,Larry Ellison,$59 billion,75,United States,Oracle Corporation
5,6,Amancio Ortega,$55.1 billion,84,Spain,"Inditex, Zara"
6,7,Mark Zuckerberg,$54.7 billion,35,United States,"Facebook, Inc."
7,8,Jim Walton,$54.6 billion,71,United States,Walmart
8,9,Alice Walton,$54.4 billion,70,United States,Walmart
9,10,S. Robson Walton,$54.1 billion,77,United States,Walmart
0,1,Jeff Bezos,$131 billion,55,United States,Amazon
1,2,Bill Gates,$96.5 billion,63,United States,Microsoft
2,3,Warren Buffett,$82.5 billion,88,United States,Berkshire Hathaway
3,4,Bernard Arnault,$76 billion,70,France,LVMH
4,5,Carlos Slim,$64 billion,79,Mexico,"América Móvil, Grupo Carso"
5,6,Amancio Ortega,$62.7 billion,82,Spain,"Inditex, Zara"
6,7,Larry Ellison,$62.5 billion,74,United States,Oracle Corporation
7,8,Mark Zuckerberg,$62.3 billion,34,United States,"Facebook, Inc."
8,9,Michael Bloomberg,$55.5 billion,77,United States,Bloomberg L.P.
9,10,Larry Page,$50.8 billion,45,United States,Alphabet Inc.
0,1,Jeff Bezos,$112 billion,54,United States,Amazon
1,2,Bill Gates,$90 billion,62,United States,Microsoft
2,3,Warren Buffett,$84 billion,87,United States,Berkshire Hathaway
3,4,Bernard Arnault,$72 billion,69,France,LVMH
4,5,Mark Zuckerberg,$71 billion,33,United States,"Facebook, Inc."
5,6,Amancio Ortega,$70 billion,81,Spain,"Inditex, Zara"
6,7,Carlos Slim,$67.1 billion,78,Mexico,"América Móvil, Grupo Carso"
7,8,Charles Koch,$60 billion,82,United States,Koch Industries
8,8,David Koch,$60 billion,77,United States,Koch Industries
9,10,Larry Ellison,$58.5 billion,73,United States,Oracle Corporation
0,1,Bill Gates,$86.0 billion,61,United States,Microsoft
1,2,Warren Buffett,$75.6 billion,86,United States,Berkshire Hathaway
2,3,Jeff Bezos,$72.8 billion,53,United States,Amazon
3,4,Amancio Ortega,$71.3 billion,80,Spain,"Inditex, Zara"
4,5,Mark Zuckerberg,$56.0 billion,32,United States,"Facebook, Inc."
5,6,Carlos Slim,$54.5 billion,77,Mexico,"América Móvil, Grupo Carso"
6,7,Larry Ellison,$52.2 billion,72,United States,Oracle Corporation
7,8,Charles Koch,$48.3 billion,81,United States,Koch Industries
8,8,David Koch,$48.3 billion,76,United States,Koch Industries
9,10,Michael Bloomberg,$47.5 billion,75,United States,Bloomberg L.P.
